cge:100754538	CDS	1	Osgep; probable tRNA N6-adenosine threonylcarbamoyltransferase isoform X1
cge:100757444	CDS	1	Pip4p1; type 1 phosphatidylinositol 4,5-bisphosphate 4-phosphatase isoform X3
cge:100757729	CDS	1	Pnp; purine nucleoside phosphorylase
cge:100755695	CDS	1	Rnase4; ribonuclease 4 isoform X3
cge:100755989	CDS	1	Rnase6; ribonuclease K6
cge:100755402	CDS	1	Ang; angiogenin
cge:100758879	CDS	1	Eddm3b; epididymal secretory protein E3-beta
cge:100751989	CDS	1	Mettl17; methyltransferase-like protein 17, mitochondrial isoform X2
cge:100752281	CDS	1	Slc39a2; zinc transporter ZIP2 isoform X1
cge:100752580	CDS	1	Ndrg2; protein NDRG2 isoform X1
cge:100758097	CDS	1	Arhgef40; rho guanine nucleotide exchange factor 40 isoform X5
cge:100752937	CDS	1	Znf219; zinc finger protein 219 isoform X1
cge:100751290	CDS	1	Hnrnpc; heterogeneous nuclear ribonucleoproteins C1/C2 isoform X1
cge:100750414	CDS	1	Chd8; chromodomain-helicase-DNA-binding protein 8 isoform X1
cge:100750703	CDS	1	Supt16h; FACT complex subunit SPT16 isoform X1
cge:100774316	CDS	1	Mettl3; N6-adenosine-methyltransferase catalytic subunit
cge:100774897	CDS	1	Rab2b; ras-related protein Rab-2B isoform X1
cge:100774023	CDS	1	Sall2; sal-like protein 2 isoform X1
cge:100772866	CDS	1	LOW QUALITY PROTEIN: plexin-B2-like
cge:100753737	CDS	1	olfactory receptor 7E24
cge:100763263	CDS	1	olfactory receptor 7E24 isoform X2
cge:100762974	CDS	1	olfactory receptor 7E24-like
cge:100763148	CDS	1	olfactory receptor 7E24-like isoform X2
cge:100764425	CDS	1	olfactory receptor 7E24-like isoform X2
cge:100765597	CDS	1	olfactory receptor 7E24 isoform X2
cge:100765883	CDS	1	olfactory receptor 7E24 isoform X2
cge:100754612	CDS	Unknown	olfactory receptor 18-like
cge:100764885	CDS	1	Slc5a7; high affinity choline transporter 1
cge:100771361	CDS	1	Cnga3; cyclic nucleotide-gated cation channel alpha-3 isoform X1
cge:100774986	CDS	1	serine protease 40 isoform X2
cge:100770484	CDS	1	C1GALT1-specific chaperone 1
cge:113832227	CDS	1	Dcaf16; LOW QUALITY PROTEIN: DDB1- and CUL4-associated factor 16
cge:100769210	CDS	1	Clrn2; clarin-2
cge:100772896	CDS	1	DNA-(apurinic or apyrimidinic site) endonuclease 2
cge:100752680	CDS	1	Drd5; D(1B) dopamine receptor isoform X2
cge:100772210	CDS	1	Cytl1; cytokine-like protein 1
cge:113832231	CDS	1	NK1 transcription factor-related protein 1-like
cge:113832236	CDS	1	casein kinase I-like
cge:113832238	CDS	1	sperm motility kinase-like
cge:100757218	CDS	1	Nms; neuromedin-S
cge:107978150	CDS	1	CUNH2orf15; uncharacterized protein C2orf15 homolog
cge:100750943	CDS	1	serine protease 40
cge:100767591	CDS	1	Clnk; cytokine-dependent hematopoietic cell linker
