sabio_entry_id	ec_number	kegg_reaction_id	enzyme_name	parameter_type	parameter_value	parameter_unit	substrate	organism	tissue	temperature	ph	pubmed_id
REAC_55	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant M222I	kcat	2.9	swedgeone		Cricetulus griseus		37.0	7.5
REAC_55	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant M222I	Km	5.4E-5	M	ATP	Cricetulus griseus		37.0	7.5
REAC_55	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant M222I	Km	54000	Mwedgeoneswedgeone	kcat_Km_ATP	Cricetulus griseus		37.0	7.5
REAC_56	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/Y506S	Km	2.6E-7	M	tRNA(Arg)	Cricetulus griseus		25.0	7.5
REAC_56	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/Y506S	kcat	0.29	swedgeone		Cricetulus griseus		25.0	7.5
REAC_56	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/Y506S	Km	1.2	Mwedgeoneswedgeone	kcat_Km_tRNAArg	Cricetulus griseus		25.0	7.5
REAC_57	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/M222I	kcat	0.14	swedgeone		Cricetulus griseus		25.0	7.5
REAC_57	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/M222I	Km	0.48	Mwedgeoneswedgeone	kcat_Km_tRNAArg	Cricetulus griseus		25.0	7.5
REAC_57	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/M222I	Km	2.9E-7	M	tRNA(Arg)	Cricetulus griseus		25.0	7.5
REAC_58	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/M222I	Km	0.12	Mwedgeoneswedgeone	kcat_Km_tRNAArg	Cricetulus griseus		37.0	7.5
REAC_58	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/M222I	Km	1.32E-6	M	tRNA(Arg)	Cricetulus griseus		37.0	7.5
REAC_58	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y/M222I	kcat	0.16	swedgeone		Cricetulus griseus		37.0	7.5
REAC_59	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRSdeltaN	Km	6.6	Mwedgeoneswedgeone	kcat_Km_tRNAArg	Cricetulus griseus		25.0	7.5
REAC_59	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRSdeltaN	Km	3.9E-7	M	tRNA(Arg)	Cricetulus griseus		25.0	7.5
REAC_59	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) wildtype ArgRSdeltaN	kcat	2.6	swedgeone		Cricetulus griseus		25.0	7.5
REAC_60	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y	Km	0.57	Mwedgeoneswedgeone	kcat_Km_tRNAArg	Cricetulus griseus		25.0	7.5
REAC_60	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y	kcat	0.21	swedgeone		Cricetulus griseus		25.0	7.5
REAC_60	6.1.1.19	R03646	arginine---tRNA ligase(Enzyme) mutant C599Y	Km	3.7E-7	M	tRNA(Arg)	Cricetulus griseus		25.0	7.5
